订阅数,问题,话题一,话题二,话题三,话题四,话题五,话题六,回答内容,浏览量,赞同数,作者被订阅数,作者回答数,图片数,外链数
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"This is what comes up when I Google the definition of a patriot:[a person who vigorously supports their country and is prepared to defend it against enemies or detractors.]Here’s a video of a patriot (hint: he’s the one shouting):We don’t know the party affiliation of the patriot in the video, but we do know that the target of his anger, Paul Manafort, is a Republican and not a patriot. All Republicans can’t be painted with a broad brush, but anyone supporting a president who:Dismisses U.S. intelligence agency warnings that Russia interfered in our elections and will continue to do soMakes zero effort to prevent future election meddlingFires the head of the FBI because he won’t stop investigating U.S. citizens (aka: traitors) who may be involved in the meddlingBrags about firing the FBI Director to Russian officials in the oval office at a meeting where the U.S. press was banned and the Russian press allowed in and reveals classified information to them that may endanger the lives of U.S. intelligence assets [1]Dismisses U.S. intelligence concerns about Chinese electronics manufacturer ZTE being an agent of the state because the Chinese helped him with a hotel deal [2]cannot call themselves a patriot. A patriot would loudly oppose a president who did all of those things, like the guy in the video above. At this particular point in history Democrats have the upper hand when it comes to being patriotic, being nearly unanimously opposed to a president who may be selling us out to a foreign power or two. Republicans have to make the decision to put country over party (patriot) or not (non-patriot). Here’s what the former looks like in spirit:Unfortunately, Jeff Flake has thrown in the towel on running for re-election and will probably be replaced by a non-patriot. These are some additional Republican patriots who’ve demonstrated they believe in putting country before party:Jim ComeyRod RosensteinRobert MuellerJohn McCainRichard BurrWhen it comes to patriotism, there is no Team Democrat or Team Republican, there is only Team U.S.A.[1] Trump revealed highly classified information to Russian foreign minister and ambassador[2] Did Trump Vow to Help a Chinese Phone Maker After China Approved Money for a Trump Project?",281,6,121,353,0,4
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"If patriotism is measured in the amount of lives wasted fighting overseas wars, both political parties are extremely patriotic! Barack Obama dropped more bombs than any other president in history. Take that Nobel Peace Prize Committee! Obama had to prove that he was just as patriotic as President Bush.Not to be outdone, Trump threatens to wipe out North Korea, send troops to fight bush wars in Africa, and launches missiles into Syria in a hopeless attempt to figure out which side in the Syrian War is the good guys. Looks like another Nobel Peace Prize for America!Presidents Truman, Eisenhower, Kennedy, Johnson, and Nixon were all convinced that they could win the Vietnam War. 50,000 troops later, we left Vietnam, but we did it only after killing millions of the enemy. So we didn't lose. Yeah us!Trump and the NFL want to fine/imprison NFL players who kneel instead of stand for the national anthem. There’s nothing more patriotic than flag shaming someone who chooses to protest police brutality. These rich black athletes hate America so much, they can go join the Amish or a tribe of Native Americans. Two groups of poor people who’s lack of patriotism ensures their own poverty. Manifest Destiny!A true test of a patriot is claiming that America is the most free nation, yet has the largest prison population. Marijuana is not native to America, so it’s not a patriotic plant like tobacco or Jimsonweed. It’s your patriotic duty to jail your neighbors for smoking the wrong plant. Reefer Badness!It’s important that we limit the number of people who get to enjoy our American liberties. If we let in too many people, we won’t feel special about being an American. Patriotism is kicking out as many people from America as possible. Not just the United States. We need to deport them from the entire North American Hemisphere. #PoliceState.The ultimate test of patriotism is debt. Nobody racks up national debt like America. Low Energy Greece only spent 120 percent of GDP on government services before they went bankrupt. Patriotic America will spend 250 percent of GDP on entitlement spending, a ridiculously large military, and a whole bunch of other things that probably weren’t needed. If the rest of the world doesn’t bankroll our extreme spending habits, we’ll blow them up! #Patriotism.Based on these observations, it’s a tie. Both Republicans and Democrats are extremely patriotic and love big government.",140,0,33,57,0,0
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"No, modern republicans just conflate unrelated things that are highly relevant to their interests, with patriotism. Nationalism, for example, gun ownership, or a highly filtered, whitewashed idea of Christianity. None of these things = patriotism. Anyone who loves their country can show patriotism.",2k,50,52,31,0,0
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"Conservatives are more pro-borders (not just national borders but in keeping traditional clasifications, separations, etc.).Basically, conservatives are slow to change (averse to risk) and want to trust in what worked well in the past. Liberals are much more open to change and to try something new, even if as yet unproven.FDR was a great example of this liberalism with all the programs he tried (trial and error) during the Great Depression. Nearly all were a failure but he said doing something is better than doing nothing. He racked up an enormous national debt as well.But if we say that protecting our borders and keep being very caution on who we allow into the country is a part of “patriotic”, then yes, conservatives think that way a bit more than liberals.Plus we have this recent study showing “pride” in America is lower amongst liberals, on average:Sharply Fewer Democrats Say They Are Proud to Be Americans",14,0,48,"1,369",0,1
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"Lots of left wing opinions which are sympathetic to the Democrats here, but keep in mind that each political group is prone to defending itself first and foremost.I believe Democrats are, on average, less patriotic. I say this with almost two decades of heavy debating with the left to try to understand their positions and find common ground where possible. On this issue they’re wrong if they tell you there isn’t a stronger anti-American mentality on the left generally speaking, and leftist are more commonly within the Democratic party, the Dems have taken a sharp turn recently.Some of the members here are trying to make this about policy, or saying that the definition of patriotism is subjective. While those things are worth a mention, let’s be realistic here, the Democrats are doing things that Republicans aren’t. One of the most important factors to whether or not a person is a patriot is whether or not they’re proud of their country and the left is proud of this country FAR less often. How do I know this?Nobody should have blind patriotism but leftist take things to such an extreme, they more commonly do things like burn the American flag, kneel during the National Anthem, voice outright hate for our country, and violently protest when an election doesn’t go their way. That’s hard not to see so I’m surprised at some of the answers here.I’ve spoken with leftist who have tried to equate soldiers (who aren’t committing war crimes) with terrorist, suggested that our nation is founded in racism when it’s more complicated than that, it was founded on a lot of things including ingenuity, compassion, and cooperation. Racism is an unfortunate part of our history and even our current culture so it should be debated, having said that it doesn’t define our country. America has strengths and weaknesses and leftist are more commonly laser focused on the negative.Leftist more commonly criticize those who express appreciation for our nation as well by going to the argument of American exceptionalism being blind. Personally I haven’t ever stated America is the best at everything yet still had fellow debaters go to that argument.I spoken to a modern liberal who didn’t like Independence Day because he was associating it with the right. In his view, Independence Day is a holiday for overly patriotic Americans. I told him that….“independence day isn’t a liberal or conservative holiday, it’s an American holiday”But the debate went nowhere, he didn’t seem to grasp that concept because like many leftist, he was diproptionaly focused on the history of racism and everything else that makes us flawed. (I can provide links if necessary)Having witnessed all of this, no I don’t think Democrats or leftist are as patriotic as other major political groups because the evidence is overwhelming. Pay close attention to where their focus usually is and you’ll see it.",46,1,3,52,0,0
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"Some Republicans definitely believe that they are more patriotic than Democrats. As to whether they are, that depends on how one defines patriotism. Conservatives claim to value liberty, but for some of them liberty means the right to choose to conform to their standards. For other conservatives, liberty means the right not to conform if that’s your choice. The GOP includes both attitudes.The debate over whether NFL players ought to be obliged to stand for the anthem is a snapshot of the issue. For a segment of the GOP, outward displays of patriotism matter a very great deal. It’s never okay to this group of Republicans for other Americans to show their dissent in ways that make this group of Republicans unhappy. For them, freedom of expression is subordinate to loyalty to the nation. Another group of Republicans see protest as a fundamental part of good citizenship. Authoritarian regimes demand full participation in ritual displays of patriotism, and the Republicans who value protest want no part of coerced patriotism.So whether Republicans are more patriotic or not depends on how your values are prioritized. If patriotism means conformity over freedom of expression, then the Republicans who demand that athletes stand are very much living up to their definition of patriotism. If patriotism means speaking out against injustice over not making waves, then the Democrats tend to show more patriotism. It’s all down to the definition of patriotism.",53,1,15,384,0,0
1,Are Republicans more patriotic than Democrats?,Political Liberalism Vs. Political Conservatism,1!,1!,1!,1!,1!,"I wrote a song about thisPseudo-Patriotscopyright Patricia M. Shannon 1996They say that they are patriots because they love to wave the flag,but they throw their trash along the road, pour used oil down the drain.They say that they are patriots because the pledge they love to say,but they never bother to turn out the lights when they go home for the day.How can we be patriots and not do all we canto protect the earth upon which all our lives depend?How can we be patriots and not help our fellow man?What else is a country, but its people and its land?They say that they are patriots because, they will always chooseto vote to build more prisons, while cutting funding for our schools.They say that they are patriots, Star Spangled Banner they do sing,but to their big gas-guzzlers they selfishly do cling.How can we be patriots and not do all we canto prevent the earth from turning into barren sands?How can we be patriots and not lend a helping hand?What else is a country, but its people and its land?They say that they are patriots, because it fills them with such gleeto send our young folks overseas to be killed by enemies.They say that they are patriots, but they would never thinkto tutor some poor kids to help them stay out of the clink.A country's not a piece of cloth, or words we say by rote;a country's not a song we sing before we watch a sport.And love's not just a feeling, it's something that we do,every day, in every way, in everything we choose.",24,2,36,60,0,0
1,How does the current Republican Party compare to traditional conservatism?,Paul Ryan (politician),Political Conservatism,1!,1!,1!,1!,"Used to be, if you were educated and higher-income, you were Republican, and vice-versa if you were a Democrat. Now, the opposite is becoming true. I’m a law-and-order, by-the-book conservative, not a tear-down-society-and-overthrow-the-government “conservative.” I’m conservative about being conservative. Remember how Richard Nixon created the EPA, signed the Endangered Species Act and signed the Family Planning Act (Title X - Wikipedia)? Yeah, most people don’t remember that either, but I’m glad he did. And check out the Republican Party Platform of 1956. Awesomeness.Once Tea Party nutcases started taking control of the GOP in the early aughts, it was downhill from there. For a while, the GOP was increasingly under the control of ideologues dedicated to tearing down traditional institutions (public education, the Constitutional right to an abortion, the social safety net. etc.). But the Tea Party turned a lot of people off - people just wanted to hate and be bigoted and the Tea Party gave them that - but the Tea Party also wanted them to listen to an hour lecture about obscure Constitutional theory.Then Trump came along and let people have all the hate with none of the egghead homework. He goes straight to the dessert without the vegetables, so to speak, and people love it. Even though Trump was a lifelong Democrat and donated to the Clinton Foundation, all was forgiven. Many Tea Partiers opposed Trump, because he took advantage of many of the big-government programs the Tea Party opposes and he lacks the ideological and intellectual foundation of the Tea Party. Hell, Trump lacks any ideological or intellectual foundation.Mainstream Republicans are becoming fewer in number, as ideologues and nihilists take over the party. Does that answer your question?I know no one likes talking about Democrats (especially Democrats), given the delicious distraction of Trump, but consider that over the past 20 years, the Democratic Party has shifted as far to the right, proportionately, as the GOP. Liberals really don’t have any party to represent them and that, also, is bad for our nation.",2.4k,61,247,224,0,2
1,How does the current Republican Party compare to traditional conservatism?,Paul Ryan (politician),Political Conservatism,1!,1!,1!,1!,"Poorly. Ike was epitome of tradional conservatism. Reagan stuck a knife in it, Gingrich used an axe to chop it into pieces. Trump, Ryan, and McConnell stomped on them. They’re partisan hacks. No other senate majority leader said, when elevated to that position, My priory is to see that this president serves only one term. Here was the US in several wars and fighting terrorists and recovering from the worst recession since the Great Depression, and that was Mcconnell’s priority.Nothing about working together for the good of the country, huh Mitch? Party above all. No, conservatives once believed in more than just their party.",26,2,21,380,0,0
1,How does the current Republican Party compare to traditional conservatism?,Paul Ryan (politician),Political Conservatism,1!,1!,1!,1!,"When I was a kid, there were Republicans such as Ford and Bush II who did not feel that debt was the best friend of the American people. Ronald Reagan taught the Republican Party that debt does not matter, and they have learned that lesson.Had it been possible i would have supported Barry Goldwater who warned Republicans about the dangers of letting Evangelicals dictate the direction of the party; truer words were never spoken; we miss you, Senator Goldwater. A quote by Barry M. Goldwater(Milton Friedman told a joke that his liberal friends warned him that if he voted for Goldwater, the US would be stuck in an interminable war in Viet Nam. He said, they were right: i voted for Goldwater and that is exactly what happened.)",63,2,460,"5,365",0,1
