,content,upvote,polarity,subjectivity,topics
0,"No, they won’t likely to belive Christianity. Neither do I.",0,0.0,1.0,0.17579518333831365
1,"I am both optimistic and pessimistic.China is striving to become the world’s largest economy with initiatives like the One Belt One Road initiative and the China-Pakistan Economic Corridor. The reason for China doing this is because it has excess production capacity, and because many developing economies are weak in infrastructure development. On the surface, this looks like a good match.So where is the problem?The problem is that China is too rushed in making these plans come to fruition. There is a trick to infrastructure projects: Building infrastructure is good, but markets have to develop in-step with the new demand the infrastructure is supposed to support.If the markets take too long to develop, then the cost of the debt rises, and after a while, it becomes impossible to grow out of the debt trap. This leads to a Balance sheet recession - Wikipedia.The perfect example of a long-term balance sheet recession is Japan, which has excellent and very modern infrastructure, but whose domestic economy does not have sufficient demand to grow out of the recession.Balance sheet recessions are very insidious because they lead to:Lower birth rates, with birth rates often falling to below replacement levels;Political instability (just look at all the governments Japan has gone through in the past 30 years);Lost generations of workers.My fear about the Trump administration’s policies is that they will not help American workers, but they will slow global growth to such an extent that the global economy will slow, and then stagnate.This is very dangerous for China, because China is trying to build markets which will create more demand.There is a problem here: the Chinese government is good at building production capacity, but it has not been good at predicting and creating demand.This means that some countries which take out loans from China hoping for future growth will fail to meet their expectations, and will be tipped over into balance-sheet recessions with China being the main loanholder.This will not be good for China or anyone else.I believe that this is the main strategy behind Peter Navarro, Robert Lighthizer and US Secretary of Commerce Wilbur Ross. They want to slow global growth and trade to the point where the countries which are closest to China will be forced into long-term balance sheet recessions, and will blame China for their heavy debt loads.They are laying a trap, and current Chinese policy is walking right into it.",197,0.09194064707222602,0.41702437912964235,0.9961278794145636
2,"I am both sad about it and optimistic.I grew up in the postwar world, when the US was truly no. 1. That US built and interstate highway system and went to the Moon. I won’t sugarcoat the problems. Jim Crow was alive and well in the South, but if you lived in the North your conditions were good enough.Nixon’s motives may have been bad, he wanted China to counter the Soviet Union, he didn’t really care about China, but in the end that helped push China into an era of prosperity. A prosperous country is usually a peaceful country.So, I look forward to a China in which the people are too comfortable to desire to kill others to heal old wounds.",3,0.06875000000000002,0.5458333333333334,0.9454533762330267
3,"Thanks for requestI am quite alright with changing of the times, as the times seems due for a change.China has a business culture and a business culture is not conducive to an environment of wars.",1,0.037500000000000006,0.2875,0.8523846879329362
4,It means more people living at developed- country standards of living. Does it matter whether the additional people are in one country or multiple countries? Not all that much.,1,0.2,0.25,0.9603621783682249
5,"I think that China's GDP has actually exceeded that of the United States. it is not a joke . let's take a look at a few linked tables first:http://www.360doc.cn/article/642...China has used 10 times or 8 times of cement, steel, plastic, aluminum, stainless steel and other building materials than the United States, and has built many times of houses, roads, railways and bridges than the United States.But the GDP of the construction industry in the United States is slightly higher than that in China.China completed 1 billion square meters of housing in 2017, and the United States about 200 million square meters, Chinese houses are expensive, but the GDP of real estate in the United States is several times that of China.China's hotels, accommodation, catering business area, turnover and so on are many times as many as those of the United States. however, it should be no problem to have far more than that, but its GDP is nearly twice as large as that of China.China's cargo transportation per ton, personnel transportation per kilometer, warehouse turnover, and post delivery are many times larger than those in the United States. however, my observation in China and the United States is also much larger. looking at the ranking of world port throughput , we can also roughly observe it, but the GDP of this industry in the United States is still slightly larger than that in China.Under the premise that the statistics of China's total retail sales are far from complete, they are already at the same level as those of the United States in 2017. they are definitely surpassed this year, but the GDP of USA retail sales is twice as high as that of China.In fact, all aspects of China have already or almost immediately surpassed the United States, or have far left the United States:The sales volume of cars in China is 28 millions and is 17 millions in the United States,Dont think the cars in China is all cheap cars, the sells of luxury cars in China, such as Benz,BMW,AUDI, is also far higher than that in the United States.China's total social retail sales in 2017 was equal to that of the United States. this statistic is far from adequate for small store sales and 2018 will surpassed that of the United States.The total box office of movie in China is close to in the United States, surpassing it in the United States and expected to reach soon.......Personally, China's GDP has surpassed that of the United States.So you know my answer:China's GDP is not overestimated but underestimated,USA's GDP is overestimated.",1,0.09673054587688734,0.4748432055749128,0.003842842695238365
6,"There are reasons to overestimate, and underestimate.Local government officials could be promoted by good achievements, so tend to overestimate. But, they can apply central government’s financial support through underestimate.However, central government has an independent agency to estimate the economy situation, so basically there is no reason for the central government to over or under estimate Chinese GDP. Nevertheless, the local officials can bribe Beijing’s officials for their own reasons.For a country whose GDP is about 13 trillion dollars, those minor fraud can not have a big say. I would say the official numbers is still the best you can get.",3,0.1875,0.25625000000000003,0.7785515995179064
7,"China’s GDP is suspected to be underestimated because many services industries haven’t included. In addition, lots of business operation under table",3,0.5,0.5,0.7831625653880742
8,It is underestimate lol,1,0.8,0.7,0.5
9,"0.00… Government does not produce anything, invent anything, create anything and are absolutely incompetent when they try to. Money thrown at the government in order for them to innovate anything would be a waste…They could use innovation to save the tax payers money but come on, is that “even a thing” where the government concerned?",0,-0.35,0.3666666666666667,0.9716984332173196
10,"I’m not sure how a government can “invest” in innovation. What kind of methods? What does “innovation” even mean? There is a great debate amongst economists about what “innovation” specifically means and the role of the government in facilitating “innovation.” I’m not sure there can be a well-researched answer to this question, but I’d love to read one if someone can prove me wrong!",0,0.06607142857142856,0.8021825396825396,0.9757242645201544
11,USA will collapse within the next 4 years into a militarized corporatist nation.,0,0.0,0.0,0.5576520673192116
12,"China could remain a closed economy and still be the largest economy in the world. Lets pretend the Empire from Star Wars does zero trade with the Rebels in the Star Wars universe. But they do build death stars, star destroyers, and a host of other things that they use to beat down the rebels with. Despite having zero exports to the rebels. And posting no trade surpluses with the Rebels. There is no denying that the Empire’s economy is enormous.Now China’s trade numbers serve as a huge clue as to the nation’s economic status. It exports more goods and services to the world than any country. They post the largest trade surpluses of any country. They hold the largest financial reserves of any country. These serve as huge clues as to the nation economy and size. Of course, China trade numbers dont need to be big in order to prove how big they are. However because their trade numbers can be verified by various parties that they do trade with. We know the Chinese arent the only ones claiming big numbers.” We are not in a trade war with China, that war was lost many years ago by the foolish, or incompetent, people who represented the U.S ,” Trump posted on twitter. “Now we have a Trade Deficit of $500 Billion. We cannot let this continue! ”Such as the exaggerated quote above. China’s trade surplus with the us isnt 500 billion. Its actually 200 billion according to the Chinese. But even countries who compete with China openly admit its very big.China has been the world's largest exporter of goods since 2009. Official estimates suggest Chinese exports amounted to $1.904 trillion in 2013. Since 2013, China has also become the largest trading nation in the world.COUNTRY COMPARISON :: RESERVES OF FOREIGN EXCHANGE AND GOLDReserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.DownloadRank	Country	RESERVES OF FOREIGN EXCHANGE AND GOLD	Date of Information1	China	$3,194,000,000,000	31 December 2017 est.2	Japan	$1,217,000,000,000	31 December 2016 est.3	European Union	$740,900,000,000	31 December 2014 est.Net exports statistics for 20151 China: $600.2 billion (up 287.2%)2 Germany: $274.9 billion (up 23.9%)3 Russia: $161.1 billion (down -23.6%)The above net export statistics are a little bit misleading. Since China posts a massive service deficit. Which is essentially tourism. Chinese tourists leave China more than foreign tourists visit China. Depending which country you live in. You might have seen these so called Chinese “tourists”. The money they bring with them, is never to be seen again in China. So China actually runs a massive deficit from Chinese tourists traveling abroad and purchasing foreign assets. Still. China’s net exports including goods and services (tourism) is still the largest in the world. At around 400 billion a year.Chinese citizens are the top foreign buyers of homes in the U.S. As Beijing cracks down on money going abroad, will America’s real estate market feel the impact?One of the latest listings in the Seattle-area real estate market boasts a newly renovated home with seven bedrooms, heated floors, and a “spacious and tranquil” feel inside the quiet suburb of Sammamish. It’s asking price: $1,260,888. Another listing—this one in Bellevue, with much grander amenities like a built-in sauna and a private tennis court—is priced at a staggering $6,888,000.The prominence of the number eight here is likely no coincidence. Both listings are found on Juwai, one of the largest online portals for Chinese citizens looking to buy property overseas (the name translates to “living abroad”). And the number eight, according to Chinese superstitions, is considered lucky.",0,0.044908097367113764,0.32138599105812216,0.7288633732996167
13,"It is good for Chinese economy because opening brings us competition.But our ultimate goal is to beat all the global hegemonies in business in a market rule.Never blame China for not making the domestic market completely ‘free’, every nation has its own way to do things. Chinese also pay for the existence of the Chinese SOEs and systems, you could promote this system in your country if you think it is the key to complete. If you can’t, just shut up and think about other ways out.",0,0.13958333333333336,0.4395833333333334,0.9833442701428936
14,China lies a lot. If you ever had a chance to observe them for 20 years you'll notice that most of what they say is kind of like a PR stunt for their own people. China don't care about anyone else but they say a lot of things. But you'll never actually see any of it happened. Except for the military plan of invading Taiwan in 2020. That's a very good possibility and they've been talking about that for 20 years now.,1,0.4183333333333333,0.5633333333333334,0.9797748114988731
15,"On average, Id go with the US - as all the major cities down to small towns and municipalities have fairly high standards of living and decent infrastructure (much higher gdp per person)In some areas, especially big-city infrastructure (high speed rail, subways etc) and recently technical research - I would say China is catching up to be just as developed or past the US",2,0.05335470085470085,0.49119658119658116,0.5228273588800381
16,"Now America and China are struggling with the tariff issues. Some people say this is “Trade War”. I hope to ask you which country would win in this war? If China wins, China will be the most developed country in the world. How about when they will compromise? Is this a kind of the 'draw'? I don’ know exactly. But it is also not easy to define “the meaning of developed.”",0,0.3041666666666667,0.4604166666666667,0.8179748737188809
17,"The USA’s economy has been growing slowly for the past 20years, while China’s economy has been growing faster. The USA infrastructure is rotting, while China’s is growing.The USA’s economy is more developed than China’s.",0,0.01249999999999999,0.3625,0.034509317092630436
18,"Most, between?You mean geographically between?In that case, the answer should be Japan.Japan definitely is the most developed country among Japan, North Korea and South Korea, in any terms.",1,0.1575,0.49749999999999994,0.03489438040036139
19,"As a Chinese ,I can surely tell you ,the United States of America!",1,0.3125,0.4444444444444444,0.504371233726835
20,"The financial market system in America is vastly more developed than that of China. It’s not even close. In terms of manufacturing America has far more advanced manufacturing, but China is working full bore to catch up.They are doing tons of business with the Germans, including buying German companies and the relationship very recently has become much closer in terms of trade, now that Germany is under attack from Trump.The Germans understand they can no longer depend on America as a reliable ally or trading partner, so they are being heavily encouraged to diversify. China is more than happy to fill that need.Chinese energy and focus combined with German technology is going to quickly become a challenge for America in the areas where China hasn’t already taken the lead. It isn’t an accident that the Chinese are currently bringing their first large modern commercial jet aircraft to market.Having a much closer relationship with Germany is going to be a huge win for China. ‘Make China Great Again’.",0,0.2579047619047619,0.40747619047619055,0.7316815484300049
21,"Today nobody really knows exactly where the finance and economy going to be, all those data that published by media are controlled and manipulated for political reasons, not only in China along, but trade war must have some effects , economic slow down is expected.There is one thing to be sure of, AI and high tech is on the Chinese government’s priority list, that means it will not effected by financing slow down, History has show that CCP will not stop towards their core interest even a few million people starves, they can cut the budget layoff some workers, but no way this is going to take effects on pursuit of technology.",0,0.015299145299145295,0.3582051282051282,0.9856559068729429
